id	label	title
201701-albawaba006-1C-149829.xml	TRUE	Asia stocks hover near three-month highs; sterling in spotlight
20170425-1493135547-nNRA3px9gc.xml	TRUE	Midday Update: Wall Street Extends Rally as Earnings Fuel Demand for Risk
20160628-1467106625-nIFRr54WZ.xml	TRUE	US GOVTS: Risk rallies overnight as mkt bear flattens
20160818-1471497754-nL3N1AZ2E6.xml	TRUE	NY COMEX gold and silver delivery notices  - Aug 18,2016
201703-contentengine001-1C-957.xml	TRUE	Early Signals Point To Rough Session -- Canadian Commentary
20161109-1478722661-nNRA2um3rz.xml	TRUE	Global markets rocked as Trump surges towards White House
201703-singaporepress001-1C-1044.xml	TRUE	Buy greenback before Round 2 of French elections: UBS
201701-albawaba006-1C-192833.xml	TRUE	Canada stocks lower at close of trade; S&P/TSX Composite down 0.47%
201610-reutersnews004-1C-53656.xml	TRUE	BUZZ-Australia's gold index hits 3-mth low as metal prices dip
20170315-1489607772-nPtVZHFQa.xml	TRUE	PLATTS: 44--US precious metals: Fed's 'dovish' tone sparks after-hours rally<PMA0044>
20160805-1470417333-nDJHE01C66.xml	TRUE	DJ Comex 100oz Gold Close - Aug 5
201701-austrassocpr002-1C-14816.xml	TRUE	FED:Key Indices and Australian Stocks
201612-albawaba005-1C-63163.xml	TRUE	Norway stocks lower at close of trade; Oslo OBX down 0.09%
20170322-1490158095-nL3N1GY5QR.xml	TRUE	CORRECTED-GLOBAL MARKETS-Asian stocks drop as fresh Trump jitters jolt risk sentiment
201703-reutersgulffinnews001-1C-905.xml	TRUE	UPDATE 1-Moroccan miner Managem reports 41 pct jump in 2016 net profit
20161201-1480621308-nNRA2yu29v.xml	TRUE	BSE to launch commodity derivative trades at GIFT City Proposes futures and options in non-agri commodities
20160719-1468903977-nDJGS001C6.xml	TRUE	DJ India's Gold Imports Plummet 48% During April-June -- Market Talk
201701-albawaba006-1C-3448.xml	TRUE	Peru stocks lower at close of trade; S&P Lima General down 0.49%
201701-albawaba006-1C-296283.xml	TRUE	Gold prices gain in Asia as Fed minutes seen too reliant on Trump plans
20161117-1479382302-nIFR1DWRw.xml	TRUE	US GOVTS: Better buying supports o/n bid, bonds follow overseas mkts higher
201608-reutersnews004-1C-23672.xml	TRUE	BUZZ-Australian gold miners gain as precious metal jumps
20160623-1466646071-nL4N19F1D1.xml	TRUE	NY COMEX gold and silver delivery notices  - June 23, 2016
201611-hindustantimes005-1C-127435.xml	TRUE	Gold futures trade higher on global cues
201704-newstexblogs004-1C-69427.xml	TRUE	Europe And S&P Futures Higher, Dollar Drops As OPEC Talks Oil Up
20170320-1490043645-nNenc3Zj1P.xml	TRUE	NIKKEI U.S. Stocks Slip, Hurt by Financials
